Title,Artist,File Path,City,Decade,ImageURL
Pjanoo,Eric Prydz,Stockholm/StockholmMusic/00s Music/Pjanoo.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b2731b8a99de784b96348bbb7c27
Baby When the Light,David Guetta,Stockholm/StockholmMusic/00s Music/BabyWhenTheLight.mp3,Stockholm,2000s,https://i.scdn.co/image/ab67616d0000b2738d8aeb06bc64c6b1c7b5b485
Lovin’ Feeling,French 79,Stockholm/StockholmMusic/10s Music/LovinFeeling.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b2732cda1a639cd6e26ccfc0773b
Glue,BICEP,Stockholm/StockholmMusic/10s Music/Glue.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b273d4322a9004288009f6da2975
How Deep Is Your Love,Calvin Harris,Stockholm/StockholmMusic/10s Music/HowDeepIsYourLove.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b2738daa8ac6367fc997c1873b9b
HEAT,Tove Lo,Stockholm/StockholmMusic/10s Music/HEAT.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b2737de2b9727e4016ab9ddbe4d5
Finally,Swedish House Mafia,Stockholm/StockholmMusic/10s Music/Finally.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b27347e8371e39ce2c4ef58c60bc
Addicted To You,Avicii,Stockholm/StockholmMusic/10s Music/AddictedToYou.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7
Don’t You Worry Child,Swedish House Mafia,Stockholm/StockholmMusic/10s Music/DontYouWorryChild.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b2739cfe80c0c05ce104f7bab18e
Check Out,J. Worra,Stockholm/StockholmMusic/10s Music/CheckOut.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b27317d5f322f1a3460e0c5bbd70
Beautiful People,Chris Brown,Stockholm/StockholmMusic/10s Music/BeautifulPeople.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab
Heroes (We Could Be),Alesso,Stockholm/StockholmMusic/10s Music/Heroes.mp3,Stockholm,2010s,https://i.scdn.co/image/ab67616d0000b273b804bbd11f864902d452b3a7
El Viejo Del Sombrerón,La Sonora Dinamita,Bogota/BogotaMusic/1980s/ElViejoDelSombreron.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273ffbb48b648d75cca9f3b74f0
Mentirosa,Rafaga,Bogota/BogotaMusic/1980s/Mentirosa.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273191411b60f6b164e7a1c13dd
Ojitos Mentirosos,Tropicalisimo Apache,Bogota/BogotaMusic/1980s/OjitosMentirosos.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273014ae837ec20dd7904d6bfdc
Sergio el Bailador,Bronco,Bogota/BogotaMusic/1980s/SergioElBailador.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b2733c290e8136b0074bb3d4221b
Lejanía,Lisandro Meza,Bogota/BogotaMusic/1980s/Lejania.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b27329584fe5c98d87c126bbd197
No Me Arrepiento de Este Amor,Gilda,Bogota/BogotaMusic/1980s/NoMeArrepientoDeEsteAmor.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273d482e1d857092cb56257a822
Qué Bello,Sonora Tropicana,Bogota/BogotaMusic/1980s/QueBello.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273472e76dddba5663b4082fc64
Yo Tomo Licor,Amar Azul,Bogota/BogotaMusic/1980s/YoTomoLicor.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273cb85fa5c1df3e84797fdef49
Nunca Me Faltes,Antonio Rios,Bogota/BogotaMusic/1980s/NuncaMeFaltes.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b2737ddb246dc796d103623af1e3
El Soy Yo,Samuray,Bogota/BogotaMusic/1980s/ElSoyYo.mp3,Bogota,1980s,https://i.scdn.co/image/ab67616d0000b273a46ce290a3b5a60a104d56ee
Llorar,Los Socios Del Ritmo,Bogota/BogotaMusic/1990s/Llorar.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b27366941553c21cb0e50d50b1f0
Tiene Espinas El Rosal,Grupo Canaveral De Humberto Pabon,Bogota/BogotaMusic/1990s/TieneEspinasElRosal.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b27364fd856aaae57a585c962c87
El Liston De Tu Pelo,Los Angeles Azules,Bogota/BogotaMusic/1990s/ElListonDeTuPelo.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b27326647abed3cef486c871cc90
Piensa En Mi,Grupo Mojado,Bogota/BogotaMusic/1990s/PiensaEnMi.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b273f25a5393f9b7461032b15b07
Baila Esta Cumbia,Selena,Bogota/BogotaMusic/1990s/BailaEstaCumbia.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b273673648f5fb3d29a82733479b
Tao Tao,Control,Bogota/BogotaMusic/1990s/TaoTao.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b27359c2bf2ff607c5268a69ed3a
El Diario De Un Borracho,Aniceto Molina,Bogota/BogotaMusic/1990s/ElDiarioDeUnBorracho.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b273a17038a3c7fda077932efab0
Muchachita Consentida,Rayito Colombiano,Bogota/BogotaMusic/1990s/MuchachitaConsentida.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b2739af40670550143304fc29d58
Juana La Cubana,Fito Olivares,Bogota/BogotaMusic/1990s/JuanaLaCubana.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b273a26b8962f8baecc589b2490f
Los Caminos De La Vida,La Tropa Vallenata,Bogota/BogotaMusic/1990s/LosCaminosDeLaVida.mp3,Bogota,1990s,https://i.scdn.co/image/ab67616d0000b273d5921249f176836e8507d33e
Como Te Voy A Olvidar,Los Angeles Azules,Bogota/BogotaMusic/2000s/ComoTeVoyAOlvidar.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b2736557d6aabc5a43e0b12d5e33
Todo Me Gusta De Ti,Aaron,Bogota/BogotaMusic/2000s/TodoMeGustaDeTi.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b2730c5def2b885fc27fba831fb3
Un Sueno,Los Angeles De Charly,Bogota/BogotaMusic/2000s/UnSueno.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b273919a14c87bc18a2217914e25
Cumbia De La Cobra,Fito Olivares,Bogota/BogotaMusic/2000s/CumbiaDeLaCobra.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b27317919dcb20af582d1ba75ff1
Rumba Cha-Cha-Cha,Grupo Kual?,Bogota/BogotaMusic/2000s/RumbaChaChaCha.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b2737ed069bc502ddfc5dd199715
El Botecito,Los Hijos Del Pueblo,Bogota/BogotaMusic/2000s/ElBotecito.mp3,Bogota,2000s,https://i.scdn.co/image/ab67616d0000b27315c450a825b9c02eb729f665
