Title,Artist,File Path,City,Decade
French Kiss,Lil’ Louis,NewYork/NewYorkMusic/90s Music/FrenchKiss.mp3,New York,1990s
Deep Inside,Hardrive,NewYork/NewYorkMusic/90s Music/DeepInside.mp3,New York,1990s
"It’s Alright, I Feel It",Nuyorican Soul,NewYork/NewYorkMusic/90s Music/ItsAlrightIFeelIt.mp3,New York,1990s
Tears,Frankie Knuckles,NewYork/NewYorkMusic/90s Music/Tears.mp3,New York,1990s
Promised Land,Joe Smooth,NewYork/NewYorkMusic/90s Music/PromisedLand.mp3,New York,1990s
APT.3A,N.Y. House’n Authority,NewYork/NewYorkMusic/90s Music/APT3A.mp3,New York,1990s
Let’s Go,Fast Eddie,NewYork/NewYorkMusic/90s Music/LetsGo.mp3,New York,1990s
Music Is the Answer,Colonel Abrams,NewYork/NewYorkMusic/90s Music/MusicIsTheAnswer.mp3,New York,1990s
Angel Eyes,Lime,NewYork/NewYorkMusic/90s Music/AngelEyes.mp3,New York,1990s
Hello,Martin Solveig,NewYork/NewYorkMusic/00s Music/Hello.mp3,New York,2000s
Blind,Hercules & Love Affair,NewYork/NewYorkMusic/00s Music/Blind.mp3,New York,2000s
Feelin’ Hypnotized,Colette,NewYork/NewYorkMusic/00s Music/FeelinHypnotized.mp3,New York,2000s
Only in New York,Demon Ritchie,NewYork/NewYorkMusic/00s Music/OnlyInNewYork.mp3,New York,2000s
A Day in the Life,Black Riot,NewYork/NewYorkMusic/00s Music/ADayInTheLife.mp3,New York,2000s
Cross the Dancefloor,Treasure Fingers,NewYork/NewYorkMusic/00s Music/CrossTheDancefloor.mp3,New York,2000s
Party People,Todd Terry,NewYork/NewYorkMusic/00s Music/PartyPeople.mp3,New York,2000s
Wednesday Night People,Moodymann,NewYork/NewYorkMusic/00s Music/WednesdayNightPeople.mp3,New York,2000s
Frank Sinatra 2001,Miss Kittin,NewYork/NewYorkMusic/00s Music/FrankSinatra2001.mp3,New York,2000s
New York House,Jellybean,NewYork/NewYorkMusic/00s Music/NewYorkHouse.mp3,New York,2000s
New York Is Alright,TV Baby,NewYork/NewYorkMusic/10s Music/NewYorkIsAlright.mp3,New York,2010s
The Ghetto,Donny Hathaway,NewYork/NewYorkMusic/10s Music/TheGhetto.mp3,New York,2010s
The Warning,Logic,NewYork/NewYorkMusic/10s Music/TheWarning.mp3,New York,2010s
The Cure & The Cause,Fish Go Deep,NewYork/NewYorkMusic/10s Music/TheCureAndTheCause.mp3,New York,2010s
Can’t Stop,Kings Of Tomorrow,NewYork/NewYorkMusic/10s Music/CantStop.mp3,New York,2010s
NYC Beat,Armand Van Helden,NewYork/NewYorkMusic/10s Music/NYCBeat.mp3,New York,2010s
The Renegade,Friend Within,NewYork/NewYorkMusic/10s Music/TheRenegade.mp3,New York,2010s
It’s Yours,Jon Cutler,NewYork/NewYorkMusic/10s Music/ItsYours.mp3,New York,2010s
To Be In Love,Masters At Work,NewYork/NewYorkMusic/10s Music/ToBeInLove.mp3,New York,2010s
Sunday Shoutin’,Johnny Corporate,NewYork/NewYorkMusic/10s Music/SundayShoutin.mp3,New York,2010s
Mourir sur scène,Dalida,Paris/ParisMusic/80s Music/MourirSurScene.mp3,Paris,1980s
Paris Latino,Bandolero,Paris/ParisMusic/80s Music/ParisLatino.mp3,Paris,1980s
Deep in Vogue,Malcolm McLaren,Paris/ParisMusic/80s Music/DeepInVogue.mp3,Paris,1980s
She Can’t Love You,Chemise,Paris/ParisMusic/80s Music/SheCantLoveYou.mp3,Paris,1980s
Talkin’ All That Jazz,Stetsasonic,Paris/ParisMusic/80s Music/TalkinAllThatJazz.mp3,Paris,1980s
Ride on Time,Black Box,Paris/ParisMusic/80s Music/RideOnTime.mp3,Paris,1980s
Paradis,Alain Chamfort,Paris/ParisMusic/80s Music/Paradis.mp3,Paris,1980s
Is It All over My Face?,Loose Joints,Paris/ParisMusic/80s Music/IsItAllOverMyFace.mp3,Paris,1980s
A.I.E.,La Compagnie Créole,Paris/ParisMusic/80s Music/AIE.mp3,Paris,1980s
Smalltown Boy (Arnaud Rebotini Remix),Bronski Beat,Paris/ParisMusic/80s Music/SmalltownBoyRemix.mp3,Paris,1980s
Feeling for You,Cassius,Paris/ParisMusic/90s Music/FeelingForYou.mp3,Paris,1990s
Pasilda,Afro Medusa,Paris/ParisMusic/90s Music/Pasilda.mp3,Paris,1990s
The Bomb (These Sounds Fall Into My Mind),The Bucketheads,Paris/ParisMusic/90s Music/TheBomb.mp3,Paris,1990s
Get Get Down,Paul Johnson,Paris/ParisMusic/90s Music/GetGetDown.mp3,Paris,1990s
Push The Feeling On,Nightcrawlers,Paris/ParisMusic/90s Music/PushTheFeelingOn.mp3,Paris,1990s
Now or Never,Tom Novy,Paris/ParisMusic/90s Music/NowOrNever.mp3,Paris,1990s
Lucky Star,Superfunk,Paris/ParisMusic/90s Music/LuckyStar.mp3,Paris,1990s
You Are My High,Demon,Paris/ParisMusic/90s Music/YouAreMyHigh.mp3,Paris,1990s
Prix choc,Étienne de Crécy,Paris/ParisMusic/90s Music/PrixChoc.mp3,Paris,1990s
It’s a Rainy Day,Ice Mc,Paris/ParisMusic/90s Music/ItsARainyDay.mp3,Paris,1990s
D.A.N.C.E,Justice,Paris/ParisMusic/00s Music/DANCE.mp3,Paris,2000s
Veridis Quo,Daft Punk,Paris/ParisMusic/00s Music/VeridisQuo.mp3,Paris,2000s
Acknowledgement,Modjo,Paris/ParisMusic/00s Music/Acknowledgement.mp3,Paris,2000s
Toop Toop,Cassius,Paris/ParisMusic/00s Music/ToopToop.mp3,Paris,2000s
Glamour Girl,Louie Austen,Paris/ParisMusic/00s Music/GlamourGirl.mp3,Paris,2000s
Frank Sinatra 2001,Miss Kittin,Paris/ParisMusic/00s Music/FrankSinatra2001.mp3,Paris,2000s
Boogie No More,Richard Dorfmeister,Paris/ParisMusic/00s Music/BoogieNoMore.mp3,Paris,2000s
Poison Lips,Vitalic,Paris/ParisMusic/00s Music/PoisonLips.mp3,Paris,2000s
A New Error,Moderat,Paris/ParisMusic/00s Music/ANewError.mp3,Paris,2000s
Pocket Piano,DJ Mehdi,Paris/ParisMusic/00s Music/PocketPiano.mp3,Paris,2000s
Lovin’ Feeling,French 79,Paris/ParisMusic/10s Music/LovinFeeling.mp3,Paris,2010s
Paris City Jazz,Bellaire,Paris/ParisMusic/10s Music/ParisCityJazz.mp3,Paris,2010s
SHE,The Blaze,Paris/ParisMusic/10s Music/SHE.mp3,Paris,2010s
Feel Your Weight,Rhye,Paris/ParisMusic/10s Music/FeelYourWeight.mp3,Paris,2010s
Kongo,Kolinga,Paris/ParisMusic/10s Music/Kongo.mp3,Paris,2010s
Paradis bleu,Revers Gagnant,Paris/ParisMusic/10s Music/ParadisBleu.mp3,Paris,2010s
Alors on Danse,Stromae,Paris/ParisMusic/10s Music/AlorsOnDanse.mp3,Paris,2010s
Hot Hands,Darius,Paris/ParisMusic/10s Music/HotHands.mp3,Paris,2010s
Toi Et Moi,Paradis,Paris/ParisMusic/10s Music/ToiEtMoi.mp3,Paris,2010s
Be Mine,Ofenbach,Paris/ParisMusic/10s Music/BeMine.mp3,Paris,2010s
I’ll House You,Jungle Brothers,Rio/RioMusic/80s Music/IllHouseYou.mp3,Rio De Janeiro,1980s
Estrelar,Marcos Valle,Rio/RioMusic/80s Music/Estrelar.mp3,Rio De Janeiro,1980s
Do You Wanna Dance,Bad Boy Orchestra,Rio/RioMusic/80s Music/DoYouWannaDance.mp3,Rio De Janeiro,1980s
Mas Que Nada,Luis Gonzales Compania,Rio/RioMusic/80s Music/MasQueNada.mp3,Rio De Janeiro,1980s
Hungry For Your Love,Hanson & Davis,Rio/RioMusic/80s Music/HungryForYourLove.mp3,Rio De Janeiro,1980s
Dreamin’,Will To Power,Rio/RioMusic/80s Music/Dreamin.mp3,Rio De Janeiro,1980s
Virgencita,Johnny Pacheco,Rio/RioMusic/80s Music/Virgencita.mp3,Rio De Janeiro,1980s
Parapapapapa,La Banda Musica,Rio/RioMusic/80s Music/Parapapapapa.mp3,Rio De Janeiro,1980s
Azul,Gal Costa,Rio/RioMusic/80s Music/Azul.mp3,Rio De Janeiro,1980s
Al - Naafyish,Hashim,Rio/RioMusic/80s Music/AlNaafyish.mp3,Rio De Janeiro,1980s
Quien Tu Te Crees?,BCN Orchestra,Rio/RioMusic/90s Music/QuienTuTeCrees.mp3,Rio De Janeiro,1990s
Pasilda,Afro Medusa,Rio/RioMusic/90s Music/Pasilda.mp3,Rio De Janeiro,1990s
Tiburon,Proyecto Uno,Rio/RioMusic/90s Music/Tiburon.mp3,Rio De Janeiro,1990s
Samba de Janeiro,Bellini,Rio/RioMusic/90s Music/SambaDeJaneiro.mp3,Rio De Janeiro,1990s
Robi-Rob’s Boriqua Anthem,El General,Rio/RioMusic/90s Music/RobiRobsBoriquaAnthem.mp3,Rio De Janeiro,1990s
Esa Morena,Dj Laz,Rio/RioMusic/90s Music/EsaMorena.mp3,Rio De Janeiro,1990s
Tumba La Casa,Sancocho,Rio/RioMusic/90s Music/TumbaLaCasa.mp3,Rio De Janeiro,1990s
Do You Miss Me,Jocelyn Enriquez,Rio/RioMusic/90s Music/DoYouMissMe.mp3,Rio De Janeiro,1990s
El Trago,2 In A Room,Rio/RioMusic/90s Music/ElTrago.mp3,Rio De Janeiro,1990s
Boom Boom Boom,The Outhere Brothers,Rio/RioMusic/90s Music/BoomBoomBoom.mp3,Rio De Janeiro,1990s
Release Me,Angelina,Rio/RioMusic/00s Music/ReleaseMe.mp3,Rio De Janeiro,2000s
Latinos,Proyecto Uno,Rio/RioMusic/00s Music/Latinos.mp3,Rio De Janeiro,2000s
The Bomb!,The Bucketheads,Rio/RioMusic/00s Music/TheBomb.mp3,Rio De Janeiro,2000s
Mami El Negro,Dj Laz,Rio/RioMusic/00s Music/MamiElNegro.mp3,Rio De Janeiro,2000s
La Novela,Fulanito,Rio/RioMusic/00s Music/LaNovela.mp3,Rio De Janeiro,2000s
Set U Free,Planet Soul,Rio/RioMusic/00s Music/SetUFree.mp3,Rio De Janeiro,2000s
Wiggle It,2 In A Room,Rio/RioMusic/00s Music/WiggleIt.mp3,Rio De Janeiro,2000s
Short Short Man,Gillette,Rio/RioMusic/00s Music/ShortShortMan.mp3,Rio De Janeiro,2000s
